ArraySize,NonSimdMul Perf,SimdMul Perf,SimdMul Speedup,NonSimdMulSum Perf,SimdMulSum Perf,SimdMulSum Speedup
1000000,211.9,894.67,4.22,221.34,1697.19,7.67
1500000,212.34,732.27,3.45,218.96,1310.44,5.98
2000000,213,717.22,3.37,218.39,1041.41,4.77
2500000,212.74,702.46,3.3,217.47,1207.31,5.55
3000000,212.67,650.71,3.06,218.6,1048.07,4.79
3500000,212.59,687.63,3.23,217.98,1012.69,4.65
4000000,212.61,799.69,3.76,218.05,1133.09,5.2
4500000,212.36,626.5,2.95,216.56,1083.09,5
5000000,211.94,683.58,3.23,217.4,1003.91,4.62
5500000,216.02,759.58,3.52,221.83,1108.14,5
6000000,212.29,825.16,3.89,224.52,1212.97,5.4
6500000,212.44,752.44,3.54,217.83,1143.09,5.25
7000000,218.63,738.92,3.38,220.68,1078.01,4.88
7500000,211.81,635.59,3,218.14,1128.56,5.17
8000000,211,694.31,3.29,215.4,1059.03,4.92
