Sum of MegaTrials/Sec,Column Labels,,,
Row Labels,8,32,128,Grand Total
1024,8.8398,7.1733,11.3194,27.3325
4096,30.3749,51.4056,33.3073,115.0878
16384,135.6291,138.1171,91.8386,365.5848
65536,345.1879,389.9467,395.9784,1131.113
262144,898.6398,1569.0481,1543.6216,4011.3095
1048576,1305.394,3318.6145,4107.8097,8731.8182
2097152,1414.7921,3659.5936,5092.5478,10166.9335
4194304,1493.3916,4944.6205,6604.1215,13042.1336
Grand Total,5632.2492,14078.5194,17880.5443,37591.3129
,,,,
,,,,
,,,,
,,,,
,8,32,128,
1024,8.8398,7.1733,11.3194,
4096,30.3749,51.4056,33.3073,
16384,135.6291,138.1171,91.8386,
65536,345.1879,389.9467,395.9784,
262144,898.6398,1569.0481,1543.6216,
1048576,1305.394,3318.6145,4107.8097,
2097152,1414.7921,3659.5936,5092.5478,
4194304,1493.3916,4944.6205,6604.1215,
